,City,Latitude,Longitude,Population,State,Class,Connections,Flights
0,SYDNEY,-33.8688,151.2093,5312163,NSW,Capital,23,217938
1,BRISBANE,-27.4698,153.0251,2482114,QLD,Capital,19,145255
2,MELBOURNE,-37.8136,144.9631,5078193,VIC,Capital,15,180345
3,PERTH,-31.9505,115.8605,2083400,WA,Capital,11,57037
4,ADELAIDE,-34.9285,138.6007,1345777,SA,Capital,8,57048
5,DARWIN,-12.4634,130.8456,147255,NT,Capital,5,11139
6,CANBERRA,-35.2809,149.13,431114,ACT,Capital,4,35336
7,TOWNSVILLE,-19.2563,146.8237,190631,QLD,Metro,4,15009
8,CAIRNS,-16.9203,145.7709,150920,QLD,Metro,4,27233
9,GOLD COAST,-28.0167,153.4,591473,QLD,Metro,3,31908
10,HOBART,-42.8821,147.3272,240342,TAS,Capital,3,18446
11,HAMILTON ISLAND,-20.351,148.957,1200,QLD,Regional,3,3540
12,SUNSHINE COAST,-26.65,153.0667,333436,QLD,Metro,2,7600
13,NEWCASTLE,-32.9267,151.7743,322278,NSW,Metro,2,9516
14,LAUNCESTON,-41.4545,147.1315,87472,TAS,Metro,2,10861
15,ALICE SPRINGS,-23.698,133.8813,24273,NT,Regional,2,2967
16,PROSERPINE,-20.4062,148.5541,3830,QLD,Regional,2,2129
17,MACKAY,-21.1535,149.1652,80772,QLD,Metro,1,7202
18,ROCKHAMPTON,-23.3777,150.51,80123,QLD,Metro,1,7948
19,COFFS HARBOUR,-30.2963,153.1136,75006,NSW,Metro,1,5086
20,BUNDABERG,-24.8662,152.3476,70480,QLD,Metro,1,3773
21,WAGGA WAGGA,-35.115,147.3678,63689,NSW,Metro,1,5502
22,ALBURY,-36.0737,146.9135,52681,NSW,Metro,1,6054
23,PORT MACQUARIE,-31.4333,152.9,45443,NSW,Regional,1,4376
24,BALLINA,-28.865,153.5715,41075,NSW,Regional,1,3304
25,DUBBO,-32.2569,148.6013,38868,NSW,Regional,1,6174
26,GERALDTON,-28.7773,114.6143,37675,WA,Regional,1,2305
27,GLADSTONE,-23.8422,151.2462,34887,QLD,Regional,1,5234
28,MILDURA,-34.2085,142.131,33814,VIC,Regional,1,4864
29,KALGOORLIE,-30.7497,121.46600000000001,30909,WA,Regional,1,3436
30,ARMIDALE,-30.5083,151.6725,28600,NSW,Regional,1,4410
31,TAMWORTH,-31.0928,150.9325,24463,NSW,Regional,1,4538
32,MOUNT ISA,-20.725,139.49,23133,QLD,Regional,1,1835
33,KARRATHA,-20.7377,116.846,16133,WA,Regional,1,6170
34,PORT LINCOLN,-34.724000000000004,135.8601,16000,SA,Regional,1,7418
35,EMERALD,-23.5271,148.1672,15438,QLD,Regional,1,4049
36,PORT HEDLAND,-20.31,118.5878,14718,WA,Regional,1,4428
37,BROOME,-17.9614,122.2359,14200,WA,Regional,1,3673
38,MORANBAH,-22.0016,148.0414,9459,QLD,Regional,1,2292
39,NEWMAN,-23.3575,119.7402,5246,WA,Regional,1,3957
40,AYERS ROCK,-25.3444,131.0369,110,NT,Regional,1,1391
