,City1,City2,Month,Passenger Count,Flight Count,Average Capacity (%),Flight Distance (km),Actual Passenger Distance (km),Potential Passenger Distance (km),Seats,Plane Size (seats)
0,ADELAIDE,ALICE SPRINGS,1984-01-01,15743,143,81.8,1316,20717788,25327369,19246,134.5874125874126
1,ADELAIDE,BRISBANE,1984-01-01,3781,32,89.8,1622,6132782,6829379,4210,131.5625
2,ADELAIDE,CANBERRA,1984-01-01,1339,12,94.7,972,1301508,1374348,1414,117.83333333333333
3,ADELAIDE,DARWIN,1984-01-01,3050,33,66.8,2619,7987950,11958009,4566,138.36363636363637
4,ADELAIDE,GOLD COAST,1984-01-01,1596,16,88.5,1607,2564772,2898047,1803,112.6875
5,ADELAIDE,MELBOURNE,1984-01-01,50817,711,66.3,643,32675331,49284059,76647,107.80168776371308
6,ADELAIDE,PERTH,1984-01-01,18670,144,85.1,2120,39580400,46510458,21939,152.35416666666666
7,ADELAIDE,SYDNEY,1984-01-01,37401,358,80.8,1167,43646967,54018524,46288,129.29608938547486
8,ALBURY,SYDNEY,1984-01-01,11478,296,79.8,452,5188056,6501323,14383,48.59121621621622
9,ALICE SPRINGS,DARWIN,1984-01-01,9035,89,71.2,1305,11790675,16559937,12690,142.58426966292134
10,ALICE SPRINGS,SYDNEY,1984-01-01,2896,31,75.8,2022,5855712,7725214,3821,123.25806451612904
11,BRISBANE,CAIRNS,1984-01-01,1397,31,71.9,1391,1943227,2702680,1943,62.67741935483871
12,BRISBANE,CANBERRA,1984-01-01,593,8,72.7,956,566908,779791,816,102.0
13,BRISBANE,DARWIN,1984-01-01,2627,22,80.7,2852,7492204,9284020,3255,147.95454545454547
14,BRISBANE,MACKAY,1984-01-01,192,15,48.2,797,153024,317477,398,26.533333333333335
15,BRISBANE,MELBOURNE,1984-01-01,31791,324,84.4,1381,43903371,52018212,37667,116.25617283950618
16,BRISBANE,PERTH,1984-01-01,566,4,88.2,3615,2046090,2319830,642,160.5
17,BRISBANE,PROSERPINE,1984-01-01,7432,92,76.1,895,6651640,8740657,9766,106.15217391304348
18,BRISBANE,ROCKHAMPTON,1984-01-01,21633,287,77.2,518,11205894,14515407,28022,97.63763066202091
19,BRISBANE,SYDNEY,1984-01-01,95027,990,73.7,753,71555331,97090001,128938,130.24040404040403
20,BRISBANE,TOWNSVILLE,1984-01-01,35580,376,82.0,1112,39564960,48249951,43390,115.39893617021276
21,BROOME,PERTH,1984-01-01,573,12,72.5,1677,960921,1325408,790,65.83333333333333
22,CANBERRA,MELBOURNE,1984-01-01,21763,323,60.5,470,10228610,16906793,35972,111.36842105263158
23,CANBERRA,SYDNEY,1984-01-01,32529,562,56.4,236,7676844,13611426,57676,102.62633451957295
24,COFFS HARBOUR,SYDNEY,1984-01-01,6731,166,79.8,443,2981833,3736633,8435,50.81325301204819
25,DARWIN,SYDNEY,1984-01-01,779,9,56.4,3155,2457745,4357704,1381,153.44444444444446
26,DEVONPORT,MELBOURNE,1984-01-01,13300,380,72.5,412,5479600,7558069,18345,48.276315789473685
27,DUBBO,SYDNEY,1984-01-01,4708,136,64.1,310,1459480,2276880,7345,54.00735294117647
28,GOLD COAST,SYDNEY,1984-01-01,42814,454,81.9,680,29113520,35547643,52276,115.1453744493392
29,HOBART,MELBOURNE,1984-01-01,35293,440,76.1,618,21811074,28661070,46377,105.40227272727273
30,KALGOORLIE,PERTH,1984-01-01,3551,110,51.4,538,1910438,3716805,6909,62.80909090909091
31,KARRATHA,PERTH,1984-01-01,7609,148,75.5,1250,9511250,12597682,10078,68.0945945945946
32,LAUNCESTON,MELBOURNE,1984-01-01,44088,647,74.6,476,20985888,28131217,59099,91.34312210200927
33,MELBOURNE,BURNIE,1984-01-01,9564,342,64.7,378,3615192,5587623,14782,43.22222222222222
34,MELBOURNE,GOLD COAST,1984-01-01,20182,159,84.9,1330,26842060,31616090,23771,149.50314465408806
35,MELBOURNE,MILDURA,1984-01-01,1898,126,42.3,457,867386,2050558,4487,35.611111111111114
