City,Latitude,Longitude,Population,Area (km sq),State,Is State Capitol,Airport distance to CBD (km)
ADELAIDE,-34.9285,138.6007,1345777,1826.9,SA,True,6.8
ALBURY,-36.0737,146.9135,52681,53.2,NSW,False,4.0
ALICE SPRINGS,-23.6980,133.8813,24273,148.5,NT,False,14.3
BRISBANE,-27.4698,153.0251,2482114,1607.6,QLD,True,16.6
BROOME,-17.9614,122.2359,14200,55.8,WA,False,2.7
CANBERRA,-35.2809,149.1300,431114,814.2,ACT,True,7.7
COFFS HARBOUR,-30.2963,153.1136,75006,73.5,NSW,False,3.8
DARWIN,-12.4634,130.8456,147255,112.0,NT,True,8.3
DEVONPORT,-41.1771,146.3470,25852,23.0,TAS,False,7.1
DUBBO,-32.2569,148.6013,38868,342.9,NSW,False,5.2
GOLD COAST,-28.0167,153.4000,591473,414.3,QLD,False,21.5
HOBART,-42.8821,147.3272,240342,1357.3,TAS,True,17.4
KALGOORLIE,-30.7497,121.4660,30909,95.3,WA,False,4.2
KARRATHA,-20.7377,116.8460,16133,15.7,WA,False,2.9
LAUNCESTON,-41.4545,147.1315,87472,114.6,TAS,False,14.6
MELBOURNE,-37.8136,144.9631,5078193,999.0,VIC,True,22.0
PERTH,-31.9505,115.8605,2083400,6415.9,WA,True,10.6
SUNSHINE COAST,-26.6500,153.0667,333436,1715.0,QLD,False,7.8
SYDNEY,-33.8688,151.2093,5312163,2058.0,NSW,True,9.6
CAIRNS,-16.9203,145.7709,150920,254.6,QLD,False,6.3
BALLINA,-28.8650,153.5715,41075,42.8,NSW,False,4.9
HERVEY BAY,-25.2986,152.8530,53780,93.6,QLD,False,5.1
PORT MACQUARIE,-31.4333,152.9000,45443,322.5,NSW,False,4.3
NEWCASTLE,-32.9267,151.7743,322278,262.8,NSW,False,18.5
HAMILTON ISLAND,-20.3510,148.9570,1200,5.5,QLD,False,0.5
AYERS ROCK,-25.3444,131.0369,110,3.3,NT,False,1.2
GERALDTON,-28.7773,114.6143,37675,437.8,WA,False,6.0
BUNDABERG,-24.8662,152.3476,70480,252.8,QLD,False,5.3
ARMIDALE,-30.5083,151.6725,28600,51.1,NSW,False,4.7
PROSERPINE,-20.4062,148.5541,3830,21.2,QLD,False,1.9
MACKAY,-21.1535,149.1652,80772,242.8,QLD,False,6.7
ROCKHAMPTON,-23.3777,150.5100,80123,200.7,QLD,False,5.9
TOWNSVILLE,-19.2563,146.8237,190631,726.8,QLD,False,5.0
BURNIE,-41.0521,145.9026,19689,22.7,TAS,False,20.3
MILDURA,-34.2085,142.1310,33814,49.4,VIC,False,6.6
WAGGA WAGGA,-35.1150,147.3678,63689,452.9,NSW,False,10.1
PORT LINCOLN,-34.7240,135.8601,16000,93.3,SA,False,11.2
PORT HEDLAND,-20.3100,118.5878,14718,382.2,WA,False,5.8
NEWMAN,-23.3575,119.7402,5246,32.2,WA,False,4.3
GLADSTONE,-23.8422,151.2462,34887,85.4,QLD,False,5.1
EMERALD,-23.5271,148.1672,15438,133.5,QLD,False,6.8
MOUNT ISA,-20.7250,139.4900,23133,43.0,QLD,False,5.0
MORANBAH,-22.0016,148.0414,9459,70.9,QLD,False,6.1
TAMWORTH,-31.0928,150.9325,24463,53.4,NSW,False,6.5
